full_name,neo,pha,sats,H,G,diameter,extent,albedo,rot_per,GM,BV,UB,spec_B,spec_T,orbit_id,epoch,equinox,e,a,q,i,om,w,ma,ad,n,tp,per_y,moid,moid_jup,t_jup,class,producer,data_arc,first_obs,last_obs,n_obs_used,condition_code,rms
439437 (2013 NK4),Y,Y,0,18.73,,,,,,,,,,,JPL 35,2460000.5,J2000,0.5498,1.023,0.461,6.52,33.74,50.59,21.43,1.59,0.9521,2459977.99,1.04,0.0152,3.68,5.82,APO,Otto Matic,3564,01/07/13,04/04/23,149,1,0.41697
439854 (1998 XA5),Y,N,0,18.74,,,,,,,,,,,JPL 24,2460000.5,J2000,0.3071,1.558,1.08,31.76,274.16,211.32,136.74,2.04,0.5067,2459730.63,1.95,0.13,3.19,4.22,AMO,Otto Matic,8921,13/01/97,17/06/21,250,0,0.6283
439877 (1999 XM141),Y,Y,0,19.71,,,,,,,,,,,JPL 48,2460000.5,J2000,0.3693,1.236,0.78,21.62,72.98,105.8,267.49,1.69,0.7171,2460129.5,1.37,0.0339,3.4,5.05,APO,Otto Matic,8270,13/12/99,04/08/22,187,0,0.48121
439889 (2000 PG5),Y,N,0,20.42,,0.59,,0.046,,,,,,,JPL 29,2460000.5,J2000,0.458,2.087,1.131,6.12,309.75,358.74,175.16,3.04,0.327,2459464.83,3.01,0.115,2.25,3.61,AMO,Otto Matic,9809,04/07/94,12/05/21,225,0,0.54752
439898 (2000 TG2),Y,N,0,19.99,,0.53,,0.063,,,,,,,JPL 67,2460000.5,J2000,0.2455,1.522,1.148,12,206.83,200.4,308.65,1.9,0.5251,2460098.29,1.88,0.162,3.51,4.45,AMO,Otto Matic,7933,07/08/00,27/04/22,261,0,0.53064
439908 (2000 XH47),Y,N,0,19.41,,,,,15.522,,,,,,JPL 73,2460000.5,J2000,0.2253,1.526,1.182,16.95,295.84,104.73,306.52,1.87,0.523,2460102.75,1.88,0.311,3.56,4.42,AMO,Otto Matic,8592,03/07/98,10/01/22,343,0,0.52377
440012 (2002 LE27),Y,N,0,19.61,,,,,,,,,,,JPL 46,2460000.5,J2000,0.4544,2.179,1.189,3.1,226.21,83.67,134.65,3.17,0.3064,2459561.1,3.22,0.183,2.14,3.54,AMO,Otto Matic,5826,03/05/02,15/04/18,170,0,0.62838
440212 (2004 OB),Y,Y,0,18.96,,,,,,,,,,,JPL 120,2460000.5,J2000,0.4303,1.681,0.958,3.44,174.53,223.32,143.96,2.4,0.4522,2459682.14,2.18,0.0113,3.03,4.12,APO,Otto Matic,5939,31/03/03,04/07/19,739,0,0.51164
441058 (2007 PH25),Y,N,0,16.54,,,,,,,,,,,JPL 46,2460000.5,J2000,0.811,2.544,0.481,53.23,150.27,331.83,278.54,4.61,0.2428,2460335.93,4.06,0.468,1.36,2.54,APO,Otto Matic,4717,12/08/07,11/07/20,222,0,0.48034
441103 (2007 SP6),Y,N,0,18.19,,,,,,,,,,,JPL 81,2460000.5,J2000,0.5467,2.56,1.161,14.11,68.24,331.63,266.5,3.96,0.2406,2460389.05,4.1,0.194,1.52,3.17,AMO,Otto Matic,13515,23/10/78,24/10/15,406,0,0.39123
